date,year,month,month_name,day_of_week,age,age_group,gender,race,threat_level,flee,armed,armed_status,manner_of_death,signs_of_mental_illness,body_camera,state,city
2015-01-24,2015,1,January,Saturday,40.0,36-45,M,W,attack,Not fleeing,gun,Armed,shot,False,False,TX,Fort Worth
2015-01-24,2015,1,January,Saturday,45.0,36-45,M,W,attack,Not fleeing,gun,Armed,shot,False,False,ID,Rexburg
2015-01-24,2015,1,January,Saturday,26.0,26-35,M,B,other,Not fleeing,knife,Armed,shot,True,False,MD,Baltimore
2015-01-25,2015,1,January,Sunday,26.0,26-35,M,H,attack,Car,gun,Armed,shot,False,False,CO,Pueblo
2015-01-25,2015,1,January,Sunday,59.0,56-65,M,,attack,Not fleeing,gun,Armed,shot,False,False,NJ,Winslow
2015-01-26,2015,1,January,Monday,17.0,<18,F,H,other,Not fleeing,vehicle,Armed,shot,False,False,CO,Denver
2015-01-26,2015,1,January,Monday,68.0,66+,M,W,attack,Not fleeing,gun,Armed,shot,True,False,MN,New Hope
2015-01-26,2015,1,January,Monday,24.0,18-25,M,H,other,Car,unarmed,Unarmed/Unknown,shot,False,False,TX,Tahoka
2015-01-26,2015,1,January,Monday,34.0,26-35,M,H,other,Not fleeing,knife,Armed,shot,True,False,CA,Wasco
2015-01-27,2015,1,January,Tuesday,26.0,26-35,M,N,other,Not fleeing,vehicle,Armed,shot,False,False,AZ,Phoenix
2015-01-27,2015,1,January,Tuesday,29.0,26-35,M,W,attack,Not fleeing,gun,Armed,shot,False,False,AZ,Morenci
2015-01-27,2015,1,January,Tuesday,33.0,26-35,M,B,attack,Not fleeing,gun,Armed,shot,False,False,OH,Columbus
2015-01-27,2015,1,January,Tuesday,39.0,36-45,F,W,attack,Not fleeing,knife,Armed,shot,True,False,NE,Omaha
2015-01-28,2015,1,January,Wednesday,45.0,36-45,M,W,attack,Not fleeing,gun,Armed,shot,False,False,TX,Sunset
2015-01-28,2015,1,January,Wednesday,35.0,26-35,M,A,attack,Not fleeing,hammer,Armed,shot and Tasered,True,False,CA,Stockton
2015-01-28,2015,1,January,Wednesday,26.0,26-35,M,W,attack,Not fleeing,gun,Armed,shot,False,False,TX,Rosenberg
2015-01-29,2015,1,January,Thursday,42.0,36-45,M,W,other,Foot,unarmed,Unarmed/Unknown,shot,False,False,OK,Stillwater
2015-01-29,2015,1,January,Thursday,31.0,26-35,M,W,attack,Not fleeing,gun,Armed,shot,True,False,MI,Wyoming
2015-01-30,2015,1,January,Friday,48.0,46-55,M,W,attack,Foot,gun,Armed,shot,False,False,MT,Billings
2015-01-31,2015,1,January,Saturday,31.0,26-35,M,H,attack,Not fleeing,gun,Armed,shot,False,False,TX,Houston
2015-01-31,2015,1,January,Saturday,54.0,46-55,M,B,other,Not fleeing,knife,Armed,shot and Tasered,True,False,MD,Randallstown
2015-02-02,2015,2,February,Monday,17.0,<18,M,W,attack,Not fleeing,gun,Armed,shot,False,False,MI,Bay City
2015-02-02,2015,2,February,Monday,59.0,56-65,M,W,other,Foot,unarmed,Unarmed/Unknown,shot,False,False,PA,Hummelstown
2015-02-02,2015,2,February,Monday,42.0,36-45,M,W,attack,Not fleeing,gun,Armed,shot,True,False,CA,Apple Valley
2015-02-03,2015,2,February,Tuesday,23.0,18-25,M,B,attack,Foot,gun,Armed,shot,False,False,MO,St. Louis
2015-02-03,2015,2,February,Tuesday,38.0,36-45,F,B,attack,Car,gun,Armed,shot,False,False,CA,Emeryville
2015-02-03,2015,2,February,Tuesday,29.0,26-35,M,B,other,Not fleeing,knife,Armed,shot,True,False,CA,Antioch
2015-02-03,2015,2,February,Tuesday,45.0,36-45,M,W,attack,Not fleeing,gun,Armed,shot,True,False,GA,Douglas
2015-02-04,2015,2,February,Wednesday,28.0,26-35,M,B,attack,Not fleeing,unarmed,Unarmed/Unknown,shot,False,False,FL,Tallahassee
2015-02-04,2015,2,February,Wednesday,37.0,36-45,M,H,attack,Not fleeing,gun,Armed,shot,False,False,FL,Orlando
2015-02-04,2015,2,February,Wednesday,28.0,26-35,M,H,attack,Car,gun,Armed,shot,False,False,AZ,Tempe
2015-02-04,2015,2,February,Wednesday,28.0,26-35,M,H,other,Not fleeing,unarmed,Unarmed/Unknown,shot,False,False,AZ,Tempe
2015-02-04,2015,2,February,Wednesday,51.0,46-55,M,B,attack,Car,gun,Armed,shot,False,False,TX,Lorena
2015-02-04,2015,2,February,Wednesday,36.0,36-45,M,B,other,Not fleeing,knife,Armed,shot,False,False,TN,Memphis
2015-02-05,2015,2,February,Thursday,59.0,56-65,M,W,other,Car,gun,Armed,shot,False,False,CA,Chino
2015-02-06,2015,2,February,Friday,25.0,18-25,M,B,attack,Not fleeing,gun,Armed,shot,False,False,OK,Oklahoma City
2015-02-07,2015,2,February,Saturday,26.0,26-35,M,W,attack,Not fleeing,toy weapon,Armed,shot,False,False,CA,Calimesa
2015-02-07,2015,2,February,Saturday,74.0,66+,M,B,attack,Not fleeing,gun,Armed,shot,False,False,NC,Gastonia
2015-02-08,2015,2,February,Sunday,33.0,26-35,M,W,attack,Car,gun,Armed,shot,False,False,AK,Anchorage
2015-02-08,2015,2,February,Sunday,27.0,26-35,M,W,attack,Not fleeing,gun,Armed,shot,False,False,TX,Austin
2015-02-08,2015,2,February,Sunday,57.0,56-65,M,W,attack,Not fleeing,gun,Armed,shot,True,False,NY,New City
2015-02-08,2015,2,February,Sunday,46.0,46-55,M,W,attack,Not fleeing,gun,Armed,shot,False,False,FL,Orange County
2015-02-08,2015,2,February,Sunday,41.0,36-45,M,W,attack,Not fleeing,gun,Armed,shot,False,False,TX,Nocona
2015-02-09,2015,2,February,Monday,61.0,56-65,M,W,undetermined,Not fleeing,gun,Armed,shot,True,False,ME,Smyrna
2015-02-09,2015,2,February,Monday,45.0,36-45,M,B,attack,Not fleeing,gun,Armed,shot,False,False,TX,Dallas
2015-02-10,2015,2,February,Tuesday,35.0,26-35,M,H,other,Foot,unarmed,Unarmed/Unknown,shot and Tasered,True,False,WA,Pasco
2015-02-10,2015,2,February,Tuesday,49.0,46-55,M,B,attack,Not fleeing,gun,Armed,shot,False,False,TN,Whitehaven
2015-02-10,2015,2,February,Tuesday,45.0,36-45,M,W,attack,Car,gun,Armed,shot,True,False,CO,New Castle
2015-02-11,2015,2,February,Wednesday,23.0,18-25,M,B,other,Not fleeing,knife,Armed,shot,True,False,CA,San Jose
2015-02-11,2015,2,February,Wednesday,46.0,46-55,M,W,attack,Foot,toy weapon,Armed,shot,True,True,AL,Dadeville
2015-02-13,2015,2,February,Friday,23.0,18-25,M,W,attack,Car,vehicle,Armed,shot,False,False,CA,San Bernardino
2015-02-13,2015,2,February,Friday,21.0,18-25,M,H,attack,Car,gun,Armed,shot,False,False,KS,Kansas City
2015-02-13,2015,2,February,Friday,35.0,26-35,M,H,other,Not fleeing,unarmed,Unarmed/Unknown,shot,False,False,PA,Reading
2015-02-13,2015,2,February,Friday,27.0,26-35,M,W,attack,Not fleeing,gun,Armed,shot,False,False,TN,McLemoresville
2015-02-13,2015,2,February,Friday,37.0,36-45,M,H,other,Not fleeing,knife,Armed,shot,True,False,AZ,San Manuel
2015-02-14,2015,2,February,Saturday,16.0,<18,M,W,attack,Car,gun,Armed,shot,True,False,MD,Essex
2015-02-14,2015,2,February,Saturday,51.0,46-55,M,W,attack,Not fleeing,gun,Armed,shot,False,False,TX,Laredo
2015-02-15,2015,2,February,Sunday,25.0,18-25,M,B,other,Not fleeing,unarmed,Unarmed/Unknown,shot and Tasered,True,False,FL,Miami Gardens
2015-02-15,2015,2,February,Sunday,34.0,26-35,M,W,attack,Foot,gun,Armed,shot,False,False,MS,Iuka
2015-02-15,2015,2,February,Sunday,34.0,26-35,M,W,other,Not fleeing,hatchet,Armed,shot,True,False,OR,Colton
2015-02-16,2015,2,February,Monday,56.0,56-65,M,W,attack,Not fleeing,gun,Armed,shot,False,False,AZ,Marana
2015-02-16,2015,2,February,Monday,26.0,26-35,M,W,attack,Not fleeing,gun,Armed,shot,False,False,ID,Boise
2015-02-16,2015,2,February,Monday,24.0,18-25,M,W,attack,Not fleeing,toy weapon,Armed,shot,True,False,UT,Provo
2015-02-17,2015,2,February,Tuesday,43.0,36-45,F,W,attack,Not fleeing,gun,Armed,shot,False,False,NC,Gaston County
2015-02-17,2015,2,February,Tuesday,31.0,26-35,M,W,other,Foot,unarmed,Unarmed/Unknown,shot,False,False,MO,Springfield
2015-02-17,2015,2,February,Tuesday,32.0,26-35,M,W,attack,Not fleeing,gun,Armed,shot,False,False,MI,Eaton Rapids Township
2015-02-17,2015,2,February,Tuesday,30.0,26-35,M,W,attack,Foot,toy weapon,Armed,shot,False,False,MA,Tewksbury
2015-02-17,2015,2,February,Tuesday,50.0,46-55,M,H,other,Not fleeing,vehicle,Armed,shot,False,False,TX,Del Rio
2015-02-18,2015,2,February,Wednesday,20.0,18-25,F,B,other,Not fleeing,undetermined,Unarmed/Unknown,shot,True,False,NC,Charlotte
2015-02-20,2015,2,February,Friday,,,M,H,attack,Car,gun,Armed,shot,False,False,TX,Houston
2015-02-20,2015,2,February,Friday,31.0,26-35,M,H,other,Not fleeing,unarmed,Unarmed/Unknown,shot,False,False,TX,Euless
2015-02-20,2015,2,February,Friday,38.0,36-45,M,B,attack,Not fleeing,gun,Armed,shot,False,False,AL,Homewood
2015-02-20,2015,2,February,Friday,77.0,66+,M,B,attack,Not fleeing,gun,Armed,shot,True,False,AL,Birmingham
2015-02-21,2015,2,February,Saturday,41.0,36-45,M,W,attack,Not fleeing,gun,Armed,shot,False,False,NM,Ruidoso
2015-02-21,2015,2,February,Saturday,51.0,46-55,M,W,attack,Not fleeing,knife,Armed,shot,False,False,IN,Indianapolis
2015-02-22,2015,2,February,Sunday,50.0,46-55,M,W,attack,Not fleeing,gun,Armed,shot,False,False,FL,Palm Bay
2015-02-23,2015,2,February,Monday,42.0,36-45,M,W,attack,Car,knife,Armed,shot and Tasered,False,False,PA,Allentown
2015-02-23,2015,2,February,Monday,39.0,36-45,M,W,other,Not fleeing,unarmed,Unarmed/Unknown,shot and Tasered,False,False,NE,Omaha
2015-02-23,2015,2,February,Monday,47.0,46-55,M,W,attack,Not fleeing,gun,Armed,shot,True,False,LA,Denham Springs
2015-02-23,2015,2,February,Monday,37.0,36-45,M,W,other,Not fleeing,knife,Armed,shot,False,False,GA,Powder Springs
2015-02-23,2015,2,February,Monday,41.0,36-45,M,W,attack,Foot,gun,Armed,shot,False,False,GA,Clarkesville
2015-02-23,2015,2,February,Monday,16.0,<18,M,B,attack,Not fleeing,gun,Armed,shot,False,False,AL,Millbrook
2015-02-24,2015,2,February,Tuesday,30.0,26-35,M,W,attack,Not fleeing,knife,Armed,shot and Tasered,True,False,WI,Green Bay
2015-02-25,2015,2,February,Wednesday,27.0,26-35,M,B,other,Car,vehicle,Armed,shot,False,False,OK,Oklahoma City
2015-02-25,2015,2,February,Wednesday,43.0,36-45,M,W,attack,Not fleeing,gun,Armed,shot,True,False,NV,Las Vegas
2015-02-26,2015,2,February,Thursday,31.0,26-35,M,W,other,Not fleeing,unarmed,Unarmed/Unknown,shot and Tasered,False,False,IN,Terre Haute
2015-02-26,2015,2,February,Thursday,42.0,36-45,M,H,attack,Foot,gun,Armed,shot,False,False,FL,Lakeland
2015-02-26,2015,2,February,Thursday,21.0,18-25,M,H,other,Not fleeing,knife,Armed,shot,False,False,CA,San Francisco
2015-02-26,2015,2,February,Thursday,49.0,46-55,M,W,other,Not fleeing,unarmed,Unarmed/Unknown,shot,False,False,MS,Gulfport
2015-02-26,2015,2,February,Thursday,34.0,26-35,F,W,attack,Car,gun,Armed,shot,False,False,GA,Sylvester
2015-02-27,2015,2,February,Friday,27.0,26-35,M,H,undetermined,Not fleeing,unarmed,Unarmed/Unknown,shot,False,False,CA,Santa Ana
2015-02-28,2015,2,February,Saturday,24.0,18-25,M,W,attack,Not fleeing,gun,Armed,shot,False,False,SC,Pelzer
2015-02-28,2015,2,February,Saturday,17.0,<18,M,W,attack,Not fleeing,unarmed,Unarmed/Unknown,shot and Tasered,False,True,MI,Roxand Township
2015-02-28,2015,2,February,Saturday,34.0,26-35,M,B,other,Car,unarmed,Unarmed/Unknown,shot,False,False,MO,St Louis
2015-02-28,2015,2,February,Saturday,28.0,26-35,F,H,other,Not fleeing,knife,Armed,shot,False,False,AZ,Tucson
2015-02-28,2015,2,February,Saturday,28.0,26-35,M,B,attack,Car,gun,Armed,shot,False,False,MO,Columbia
2015-02-28,2015,2,February,Saturday,40.0,36-45,M,B,attack,Car,gun,Armed,shot,True,False,NC,Tarboro
2015-02-28,2015,2,February,Saturday,37.0,36-45,F,W,attack,Car,gun,Armed,shot,False,False,AZ,La Paz County
2015-03-01,2015,3,March,Sunday,49.0,46-55,M,W,attack,Not fleeing,gun,Armed,shot,False,False,MS,Barton
2015-03-01,2015,3,March,Sunday,43.0,36-45,M,B,attack,Not fleeing,unarmed,Unarmed/Unknown,shot and Tasered,True,True,CA,Los Angeles
2015-03-01,2015,3,March,Sunday,35.0,26-35,M,A,attack,Not fleeing,gun,Armed,shot,False,False,TX,Houston
2015-03-02,2015,3,March,Monday,20.0,18-25,M,B,other,Foot,gun,Armed,shot,False,False,IL,Joilet
2015-03-03,2015,3,March,Tuesday,25.0,18-25,M,B,attack,Not fleeing,gun,Armed,shot,False,False,MD,Salisbury
2015-03-03,2015,3,March,Tuesday,25.0,18-25,M,W,attack,Not fleeing,knife,Armed,shot,False,False,AZ,Tempe
2015-03-04,2015,3,March,Wednesday,26.0,26-35,M,W,other,Not fleeing,unarmed,Unarmed/Unknown,shot,False,False,FL,Deltona
2015-03-04,2015,3,March,Wednesday,28.0,26-35,M,A,attack,Not fleeing,gun,Armed,shot,False,False,CA,Stockton
2015-03-05,2015,3,March,Thursday,45.0,36-45,M,B,other,Not fleeing,knife,Armed,shot,True,False,WI,Milwaukee
2015-03-05,2015,3,March,Thursday,36.0,36-45,M,H,other,Car,unarmed,Unarmed/Unknown,shot,False,False,CA,Burbank
2015-03-05,2015,3,March,Thursday,34.0,26-35,M,W,attack,Not fleeing,gun,Armed,shot,False,False,NE,Lincoln
2015-03-06,2015,3,March,Friday,37.0,36-45,M,B,undetermined,Foot,unarmed,Unarmed/Unknown,shot,False,False,CO,Aurora
2015-03-06,2015,3,March,Friday,48.0,46-55,M,B,other,Not fleeing,vehicle,Armed,shot,False,False,FL,Putnam Hall
2015-03-06,2015,3,March,Friday,19.0,18-25,M,B,attack,Foot,unarmed,Unarmed/Unknown,shot,False,False,WI,Madison
2015-03-07,2015,3,March,Saturday,29.0,26-35,M,W,attack,Not fleeing,gun,Armed,shot,False,False,AZ,Phoenix
2015-03-08,2015,3,March,Sunday,40.0,36-45,M,H,attack,Not fleeing,gun,Armed,shot,False,False,OK,Oklahoma City
2015-03-08,2015,3,March,Sunday,35.0,26-35,M,W,attack,Car,vehicle,Armed,shot,False,False,DE,Claymont
2015-03-08,2015,3,March,Sunday,43.0,36-45,F,B,other,Not fleeing,knife,Armed,shot,True,True,CA,Anaheim
2015-03-09,2015,3,March,Monday,58.0,56-65,M,W,attack,Not fleeing,gun,Armed,shot,False,False,NC,Brevard
2015-03-09,2015,3,March,Monday,46.0,46-55,M,W,attack,Not fleeing,gun,Armed,shot,False,False,CO,Dinosaur
2015-03-09,2015,3,March,Monday,30.0,26-35,M,B,attack,Not fleeing,gun,Armed,shot,False,False,FL,Cocoa
2015-03-09,2015,3,March,Monday,27.0,26-35,M,B,other,Not fleeing,unarmed,Unarmed/Unknown,shot,True,False,GA,Atlanta
2015-03-10,2015,3,March,Tuesday,31.0,26-35,M,B,attack,Not fleeing,gun,Armed,shot,False,False,LA,Baton Rouge
2015-03-10,2015,3,March,Tuesday,23.0,18-25,M,W,attack,Not fleeing,knife,Armed,shot,False,True,GA,Port Wentworth
2015-03-10,2015,3,March,Tuesday,37.0,36-45,M,H,other,Car,sword,Armed,shot,True,False,CA,Ontario
2015-03-10,2015,3,March,Tuesday,64.0,56-65,M,B,attack,Not fleeing,gun,Armed,shot,False,True,OH,Cleveland
2015-03-11,2015,3,March,Wednesday,31.0,26-35,M,W,attack,Not fleeing,gun,Armed,shot,True,False,TN,Memphis
2015-03-11,2015,3,March,Wednesday,39.0,36-45,M,H,attack,Not fleeing,gun,Armed,shot,False,False,CA,Santa Ana
2015-03-11,2015,3,March,Wednesday,31.0,26-35,M,W,attack,Not fleeing,toy weapon,Armed,shot,True,False,AZ,Kingman
2015-03-11,2015,3,March,Wednesday,25.0,18-25,M,H,other,Not fleeing,vehicle,Armed,shot,False,False,CA,Los Angeles
2015-03-11,2015,3,March,Wednesday,54.0,46-55,M,W,attack,Not fleeing,gun,Armed,shot,False,False,AL,Bay Minette
2015-03-11,2015,3,March,Wednesday,53.0,46-55,M,W,attack,Not fleeing,gun,Armed,shot,True,False,AL,Hoover
2015-03-11,2015,3,March,Wednesday,37.0,36-45,M,B,other,Not fleeing,vehicle,Armed,shot,False,False,MD,Elkton
2015-03-12,2015,3,March,Thursday,35.0,26-35,M,B,other,Not fleeing,unarmed,Unarmed/Unknown,shot,True,False,DC,Washington
2015-03-13,2015,3,March,Friday,59.0,56-65,M,W,attack,Not fleeing,gun,Armed,shot,False,False,MO,Kansas City
2015-03-13,2015,3,March,Friday,36.0,36-45,M,W,attack,Not fleeing,knife,Armed,shot,False,False,CA,Fontana
2015-03-13,2015,3,March,Friday,32.0,26-35,M,H,other,Foot,unarmed,Unarmed/Unknown,shot,False,False,CA,Walnut Creek
2015-03-13,2015,3,March,Friday,41.0,36-45,M,H,other,Other,gun,Armed,shot,False,False,CA,Napa
2015-03-14,2015,3,March,Saturday,29.0,26-35,M,H,attack,Not fleeing,gun,Armed,shot,True,False,TX,San Antonio
2015-03-14,2015,3,March,Saturday,53.0,46-55,M,W,other,Not fleeing,knife,Armed,shot,False,False,WV,Follansbee
2015-03-14,2015,3,March,Saturday,26.0,26-35,M,W,attack,Car,gun,Armed,shot,False,False,WI,Kenosha
2015-03-15,2015,3,March,Sunday,27.0,26-35,M,W,other,Not fleeing,machete,Armed,shot,False,False,MS,Ruth
2015-03-16,2015,3,March,Monday,28.0,26-35,M,W,attack,Not fleeing,gun,Armed,shot,True,False,MN,St. Paul
2015-03-16,2015,3,March,Monday,52.0,46-55,M,W,attack,Not fleeing,gun,Armed,shot,True,False,NC,Gastonia
2015-03-17,2015,3,March,Tuesday,20.0,18-25,M,W,attack,Not fleeing,gun,Armed,shot,True,False,TX,Onalaska
2015-03-17,2015,3,March,Tuesday,22.0,18-25,M,H,undetermined,Car,unarmed,Unarmed/Unknown,shot,False,False,CA,Sacramento
2015-03-17,2015,3,March,Tuesday,49.0,46-55,M,W,attack,Not fleeing,gun,Armed,shot,True,False,OR,Medford
2015-03-17,2015,3,March,Tuesday,24.0,18-25,M,W,attack,Foot,gun,Armed,shot,False,False,NC,Dublin
2015-03-17,2015,3,March,Tuesday,24.0,18-25,F,W,other,Not fleeing,vehicle,Armed,shot,True,False,CA,San Francisco
2015-03-18,2015,3,March,Wednesday,47.0,46-55,M,W,other,Not fleeing,knife,Armed,shot,False,False,CA,Bakersfield
2015-03-18,2015,3,March,Wednesday,49.0,46-55,F,W,attack,Not fleeing,gun,Armed,shot,False,False,AZ,Glendale
2015-03-18,2015,3,March,Wednesday,64.0,56-65,M,W,attack,Not fleeing,gun,Armed,shot,False,False,FL,Tallahassee
2015-03-19,2015,3,March,Thursday,16.0,<18,M,B,attack,Car,gun,Armed,shot,False,False,FL,Jacksonville
2015-03-19,2015,3,March,Thursday,20.0,18-25,M,W,attack,Not fleeing,unarmed,Unarmed/Unknown,shot,True,False,WA,Sumas
2015-03-19,2015,3,March,Thursday,36.0,36-45,M,W,attack,Not fleeing,gun,Armed,shot,False,False,CA,Bakersfield
2015-03-19,2015,3,March,Thursday,39.0,36-45,M,W,other,Not fleeing,box cutter,Armed,shot,True,True,AL,Lawrence County
2015-03-19,2015,3,March,Thursday,18.0,18-25,M,B,attack,Not fleeing,unarmed,Unarmed/Unknown,shot,False,False,OH,Cleveland
2015-03-19,2015,3,March,Thursday,31.0,26-35,M,W,attack,Not fleeing,gun,Armed,shot,False,True,ID,Middleton
2015-03-20,2015,3,March,Friday,24.0,18-25,M,N,attack,Car,gun,Armed,shot,False,False,AZ,Red Valley
2015-03-20,2015,3,March,Friday,63.0,56-65,M,B,attack,Not fleeing,machete,Armed,shot,True,False,LA,New Orleans
2015-03-20,2015,3,March,Friday,34.0,26-35,M,W,attack,Not fleeing,gun,Armed,shot,False,False,OK,Coal County
